CCID,Group
sub_CC110033,young adult
sub_CC110037,young adult
sub_CC110045,young adult
sub_CC110056,young adult
sub_CC110069,young adult
sub_CC110087,young adult
sub_CC110098,young adult
sub_CC110101,young adult
sub_CC110126,young adult
sub_CC110174,young adult
sub_CC110182,young adult
sub_CC110187,young adult
sub_CC110319,young adult
sub_CC110411,young adult
sub_CC110606,young adult
sub_CC112141,young adult
sub_CC120008,young adult
sub_CC120049,young adult
sub_CC120061,young adult
sub_CC120065,young adult
sub_CC120120,young adult
sub_CC120166,young adult
sub_CC120182,young adult
sub_CC120208,young adult
sub_CC120218,young adult
sub_CC120264,young adult
sub_CC120276,young adult
sub_CC120309,young adult
sub_CC120313,young adult
sub_CC120319,young adult
sub_CC120347,young adult
sub_CC120376,young adult
sub_CC120409,young adult
sub_CC120462,young adult
sub_CC120469,young adult
sub_CC120470,young adult
sub_CC120550,young adult
sub_CC120640,young adult
sub_CC120727,young adult
sub_CC120764,young adult
sub_CC120795,young adult
sub_CC121106,young adult
sub_CC121111,young adult
sub_CC121144,young adult
sub_CC121158,young adult
sub_CC121200,young adult
sub_CC121317,young adult
sub_CC121397,young adult
sub_CC121411,young adult
sub_CC121428,young adult
sub_CC121479,young adult
sub_CC121685,young adult
sub_CC121795,young adult
sub_CC122172,young adult
sub_CC122405,young adult
sub_CC122620,young adult
sub_CC210023,young adult
sub_CC210051,young adult
sub_CC210088,young adult
sub_CC210124,young adult
sub_CC210148,young adult
sub_CC210172,young adult
sub_CC210182,young adult
sub_CC210250,young adult
sub_CC210422,young adult
sub_CC210519,young adult
sub_CC210526,young adult
sub_CC210617,young adult
sub_CC210657,young adult
sub_CC212153,young adult
sub_CC220098,young adult
sub_CC220107,young adult
sub_CC220115,young adult
sub_CC220132,young adult
sub_CC220151,young adult
sub_CC220198,young adult
sub_CC220203,young adult
sub_CC220223,young adult
sub_CC220232,young adult
sub_CC220234,young adult
sub_CC220284,young adult
sub_CC220323,young adult
sub_CC220335,young adult
sub_CC220352,young adult
sub_CC220372,young adult
sub_CC220419,young adult
sub_CC220506,young adult
sub_CC220518,young adult
sub_CC220519,young adult
sub_CC220526,young adult
sub_CC220535,young adult
sub_CC220567,young adult
sub_CC220610,young adult
sub_CC220635,young adult
sub_CC220697,young adult
sub_CC220713,young adult
