region,Acc,name,network,hemi,bankssts_left,bankssts_right,caudalanteriorcingulate_left,caudalanteriorcingulate_right,caudalmiddlefrontal_left,caudalmiddlefrontal_right,cuneus_left,cuneus_right,entorhinal_left,entorhinal_right,frontalpole_left,frontalpole_right,fusiform_left,fusiform_right,inferiorparietal_left,inferiorparietal_right,inferiortemporal_left,inferiortemporal_right,insula_left,insula_right,isthmuscingulate_left,isthmuscingulate_right,lateraloccipital_left,lateraloccipital_right,lateralorbitofrontal_left,lateralorbitofrontal_right,lingual_left,lingual_right,medialorbitofrontal_left,medialorbitofrontal_right,middletemporal_left,middletemporal_right,paracentral_left,paracentral_right,parahippocampal_left,parahippocampal_right,parsopercularis_left,parsopercularis_right,parsorbitalis_left,parsorbitalis_right,parstriangularis_left,parstriangularis_right,pericalcarine_left,pericalcarine_right,postcentral_left,postcentral_right,posteriorcingulate_left,posteriorcingulate_right,precentral_left,precentral_right,precuneus_left,precuneus_right,rostralanteriorcingulate_left,rostralanteriorcingulate_right,rostralmiddlefrontal_left,rostralmiddlefrontal_right,superiorfrontal_left,superiorfrontal_right,superiorparietal_left,superiorparietal_right,superiortemporal_left,superiortemporal_right,supramarginal_left,supramarginal_right,temporalpole_left,temporalpole_right,transversetemporal_left,transversetemporal_right
bankssts,0.773763,bankssts L,dmn,left,1.0,0.9668388982109013,0.8973957620819515,0.8941583324397333,0.8581692362622704,0.8409289952713257,0.8677997423787837,0.869938663443975,0.9099424286210691,0.9041081365309775,0.7440024217009585,0.7426729145891807,0.9632869965423086,0.9503968398404529,0.9500356380360547,0.9464206789901273,0.9639916200458613,0.9336685048285923,0.9158153741036148,0.9081970435208891,0.9356105735832487,0.9310092523258746,0.8707744373579095,0.8681143151253006,0.7990982442982938,0.7942899549172187,0.8974687207558357,0.8982449570683967,0.7907871127368816,0.7893319778158191,0.9587163556310141,0.9373495553298505,0.8517591827700507,0.8429998475426955,0.9600146001381339,0.9502517327495297,0.8795002715108193,0.8659379638695992,0.8029804539515356,0.7824360881827966,0.8435855585252399,0.8236181541169221,0.8470843978076742,0.8479815777812076,0.9051611122596069,0.8950634247301109,0.8954523431777354,0.8926134777291961,0.8735897400439627,0.8589098021337366,0.9275483760878274,0.9251079624756458,0.8275096447285117,0.8248584418490172,0.7902280818412529,0.775236285840838,0.810557458556709,0.7975144232301885,0.9060925679172643,0.9004812222187536,0.9525456441481471,0.9265421210733518,0.953222212086336,0.9400004841834388,0.8640344436277813,0.8305010458394773,0.9679043525697948,0.9537928409180254
bankssts,0.743158,bankssts R,somatomotor,right,0.9668388982109013,1.0,0.9140463607451104,0.9119642598859946,0.876567544358416,0.8654780407176106,0.8641087731885686,0.8682339777974742,0.9241035197140026,0.9236724065107743,0.775803826588073,0.7742319403621283,0.9541885521433835,0.9669357810966877,0.9434980774885041,0.9551252968259729,0.9577500522754337,0.9550958432075413,0.9282547884308017,0.9314016018027732,0.943375128998191,0.9411048521222742,0.8640844401699795,0.8653831797347169,0.8264015870776781,0.8239860104358134,0.8956695703237761,0.9002439767685898,0.8192166570102486,0.8181877538224529,0.9544339089334695,0.9583667257535049,0.8682889202130281,0.8607131548998951,0.9622428005622937,0.9629942639531311,0.8955214388651502,0.8921614905684297,0.8296204326909861,0.8127889494030939,0.8655489646147839,0.8520951108546424,0.8435201840848076,0.8466946807054514,0.9140757901936286,0.9158164330247051,0.910597677610105,0.9088422008493419,0.8871332543597213,0.8816689173320369,0.9323696667885081,0.9315772948077377,0.8531406334612512,0.8506971852434079,0.8178981782335613,0.8055794720717778,0.8360650293431463,0.8244430463146395,0.9094359119171831,0.9071385214768753,0.9524263614261065,0.9482224219724876,0.9508442788452934,0.9575866967029254,0.8837615144841754,0.8572873357458412,0.964425714485724,0.9724863120952442
caudal anterior cingulate,0.750224,caudalanteriorcingulate L,ventral_attention,left,0.8973957620819515,0.9140463607451104,1.0,0.9978788192573751,0.9754609341247333,0.9696216943750663,0.7818696802271561,0.7860148225065483,0.955898077276425,0.9557709840241082,0.8932513518463975,0.8910398999968085,0.8785934948124879,0.89420198191203,0.8766134515450019,0.8886135399437395,0.931808755221458,0.942466148128941,0.9702138293498785,0.9691828371526177,0.9588845797138916,0.9610753729134438,0.769921167385883,0.7604686661238315,0.9237053402781822,0.9201740650322421,0.8193310379607072,0.823149351976903,0.9197296262556814,0.9205612446119393,0.9428419108124663,0.9462786857672997,0.9448323164786633,0.9427182093022534,0.938614066639378,0.9444073926945085,0.9756106214655771,0.9713415655552297,0.9308214017712426,0.9193919235141774,0.958817904583981,0.9500233272676781,0.7584765884182788,0.7623022230377625,0.9500793790303487,0.9561884014820716,0.9727953517022105,0.9736045447177203,0.9658346528240215,0.9657712442600955,0.9000499391512959,0.8999991545607924,0.9540706545867331,0.9549837180237979,0.9362659062609321,0.9259933538622113,0.9591883281545349,0.9495436044684377,0.8798008487299421,0.8758200722719184,0.9543238980352274,0.9585872678018655,0.9271428959617499,0.9348612172307674,0.9445457087048406,0.9330943337643034,0.9419388370404549,0.9508488067022295
caudal anterior cingulate,0.734076,caudalanteriorcingulate R,ventral_attention,right,0.8941583324397333,0.9119642598859946,0.9978788192573751,1.0,0.97477758668423,0.9718545998163378,0.7776918937766041,0.7819073518753783,0.956135376634894,0.956553079989911,0.8990632297690874,0.8969590812011538,0.8757444440959724,0.8924074815565601,0.8728987059432127,0.8861617550528029,0.930589396290415,0.9432153247744379,0.9706754300255312,0.9706116721460392,0.9568864026811829,0.9596661555059506,0.765444188253041,0.7557726984644015,0.9280838965504404,0.9249644122141392,0.8157284029656433,0.8193664623066228,0.9245481270765558,0.925512905324765,0.9417511844848628,0.94668364236114,0.9443775227488849,0.9430904636410147,0.9367224353463972,0.9436722831662334,0.975963693552396,0.973252685160756,0.9348023503350447,0.9242017766784418,0.9609864447990625,0.9536801390611326,0.7544632837968503,0.7581363616956424,0.9476015979824977,0.9556522142047607,0.9721294636573794,0.9732663669605259,0.9642272324126021,0.9665548599306227,0.8973895493532055,0.89775070006075,0.9579589921786367,0.95906754728197,0.9401610415918566,0.9311280605539318,0.9619668355826327,0.953025092544077,0.8771818041455398,0.8737020999409163,0.9528706342917291,0.9589518818936658,0.9238203682560311,0.9331245553661531,0.9468461320836672,0.9365946783620682,0.9388973217130173,0.9493241703827406
caudal middle frontal,0.728693,caudalmiddlefrontal L,dmn,left,0.8581692362622704,0.876567544358416,0.9754609341247333,0.97477758668423,1.0,0.9792722166065218,0.7211486990606922,0.7261840180789482,0.9294261701101123,0.9311852724972055,0.9014410718961882,0.8992273986339386,0.8287896388888514,0.8481999575673701,0.8363236797044173,0.8501465018603289,0.8966561281645314,0.9149164765751168,0.9542694063333501,0.951384301869493,0.9280480204587328,0.9337425421685407,0.7087858337023595,0.6972304538514389,0.9271734988579173,0.9223916587600892,0.7607452786236952,0.7648628844908318,0.9225188521055157,0.9235397079918417,0.9127747390022496,0.9199821361296964,0.9483720617595452,0.9482949584776622,0.8958846353744842,0.9054700544023273,0.9756814658032628,0.9709027748028414,0.9331948841327836,0.9241038952123545,0.9589710309447753,0.952540958134493,0.6974259495165716,0.7015788569548349,0.9492337874311046,0.9535523960081499,0.9701613543701421,0.9704905083926727,0.9764130026552823,0.9750884115430113,0.8610904828867467,0.8617916871632344,0.9520733973846814,0.9529500440862643,0.9434910408850586,0.9329745261173559,0.9689840013366848,0.9578298825642084,0.8508488166235467,0.8461151884343,0.9278348076898455,0.9369195093566778,0.906313180444394,0.9150926082256853,0.9305172169762291,0.9252993867561109,0.9098497949377313,0.920449374720446
caudal middle frontal,0.702271,caudalmiddlefrontal R,frontoparietal,right,0.8409289952713257,0.8654780407176106,0.9696216943750663,0.9718545998163378,0.9792722166065218,1.0,0.7031926126275893,0.7084573220701875,0.9311092889670751,0.9346164599404141,0.9245403656372143,0.9230475920258968,0.8142581137739682,0.8387786242418814,0.8183786567422154,0.8359719335828009,0.8897446528132241,0.9149184598573902,0.9532393964185673,0.9542875610149353,0.9149303730727368,0.9221274286100622,0.6918207370224885,0.6789513568901483,0.9432923127943728,0.9407138879061351,0.746157819616307,0.7500536112561805,0.9402904803117597,0.9417128761454684,0.9061006739688223,0.9186905654321259,0.9374808886114223,0.9410792076974721,0.8849803189355119,0.8995995519832932,0.9722052724096597,0.9778190116701732,0.94789618621856,0.9433177159380762,0.9647166896835447,0.9655408789771887,0.6818244194182653,0.6858877640958417,0.9314474886523727,0.9508921484191971,0.9600031581682786,0.9637011114986388,0.9607133266382383,0.9768658916464048,0.8449854735106181,0.8466410653354731,0.962792129145585,0.964119067699485,0.9569452778870116,0.9529661483634617,0.9758055504790919,0.9716776276771819,0.8336318462770544,0.8315628032097004,0.918624533126877,0.9360679201801148,0.8881617536113086,0.9063507113592776,0.9401499389362222,0.9399021569423136,0.8944278600278021,0.912611698450166
cuneus,0.792708,cuneus L,visual,left,0.8677997423787837,0.8641087731885686,0.7818696802271561,0.7776918937766041,0.7211486990606922,0.7031926126275893,1.0,0.9886365086746283,0.7849139185575597,0.7797180702545138,0.5916445269756533,0.5900605074463074,0.8940521016494113,0.8776608850903238,0.9177947539354353,0.9045378686467144,0.8317749055602504,0.8025986858497035,0.7863472480854419,0.7818533654533817,0.8688711793599424,0.8554157291298382,0.9587621887798964,0.9537982838612465,0.6503312304728969,0.6472729490569002,0.9551270467279843,0.9543483836471859,0.6436238720984057,0.6412879676811594,0.815167542149197,0.7993315761578078,0.7499297647972304,0.7370627133169537,0.8531524206851706,0.8383670612367617,0.737358923545472,0.7242391331266688,0.6500924712582182,0.6284828713720503,0.6943703290343352,0.6733740819725283,0.9671963866840112,0.9648767137093214,0.7872495670452396,0.7773237096638528,0.7855220757269074,0.7823339366228188,0.7447246980197081,0.7292949087503863,0.9194676204665291,0.9143445964085882,0.6844748439343875,0.6812707455756273,0.6356048630928177,0.6205155849375145,0.6680758699311741,0.6541026529713954,0.8990961204944785,0.8969097841615594,0.8130468435702918,0.7882506865810123,0.8427466212757687,0.8324604899239602,0.7249110807881743,0.6859450867446497,0.8520434428780911,0.8386548697788841
cuneus,0.795835,cuneus R,visual,right,0.869938663443975,0.8682339777974742,0.7860148225065483,0.7819073518753783,0.7261840180789482,0.7084573220701875,0.9886365086746283,1.0,0.7860917792560949,0.7812030583662048,0.5936818503490622,0.5918188742906734,0.8954399471811535,0.8806644783486832,0.9214580016334487,0.9113711901124807,0.8329973615233982,0.8047924720010583,0.788573584851355,0.784892733665863,0.8730072787707177,0.8614633971379645,0.9537670441418223,0.9516173561401079,0.6525020780482039,0.6489573408650956,0.9527695110628983,0.9526889135207163,0.645884911038908,0.6435695314591109,0.8168715395074224,0.8016577853487489,0.7556479976897282,0.7425794700481503,0.855699120011391,0.8406320795765452,0.7409646734571566,0.7278957533677127,0.6522910398467491,0.6307205573734866,0.6972089850471817,0.6764449676613837,0.961876748835375,0.9650962975053291,0.7927660483975446,0.7833964524179468,0.7907668551377749,0.7871331147430584,0.7502839636261156,0.734934783934634,0.923006622716398,0.9221267306275714,0.6876989560510622,0.6844809078692833,0.6386555484248229,0.6232385561553839,0.6719996789900153,0.6577771412353365,0.9046023759221223,0.9067751760397479,0.8153631508522073,0.7916369486476836,0.8480431401175823,0.8387895589432411,0.7261511005560077,0.6872870363239854,0.8546542485298424,0.8428383747789782
entorhinal,0.802015,entorhinal L,limbic,left,0.9099424286210691,0.9241035197140026,0.955898077276425,0.956135376634894,0.9294261701101123,0.9311092889670751,0.7849139185575597,0.7860917792560949,1.0,0.9901427948100968,0.9081123605915821,0.9064791875446315,0.9083370951898309,0.9257105709981569,0.8678909528549007,0.8784182957151453,0.9654447202821677,0.9735467515758102,0.9832071010928657,0.9789382243673405,0.9270123208506389,0.9279393507983477,0.7946070859872403,0.7828845542493736,0.9400588876264329,0.9368334135825604,0.8406404910216577,0.8432808207058677,0.934128602676265,0.9328769811151435,0.9689272465001618,0.9689912441992566,0.8821840749030708,0.8809941579591961,0.9631592411553691,0.9685841268191047,0.9590139428272564,0.9563401440819862,0.9440095012445072,0.9309748002034066,0.9569568115080449,0.9481404034363865,0.7795037178055941,0.7815512232868528,0.9040734881712283,0.9141728123974536,0.9295647689743322,0.9322613584793946,0.9127117237767713,0.9184744096209742,0.8816650171053689,0.8814245850906458,0.9443900409962432,0.9432637837591933,0.9349501466817023,0.9260491609917609,0.9305994506581774,0.9264692506822726,0.8471918660429907,0.8447769864686585,0.9668305329248726,0.968525950219967,0.9023878239763783,0.9119161554374628,0.9773359383117515,0.9618361477633575,0.9435115127535318,0.9502635013489515
entorhinal,0.807256,entorhinal R,limbic,right,0.9041081365309775,0.9236724065107743,0.9557709840241082,0.956553079989911,0.9311852724972055,0.9346164599404141,0.7797180702545138,0.7812030583662048,0.9901427948100968,1.0,0.9154159420638845,0.9141120824970581,0.9037008312006429,0.9233332080355252,0.8630722363146945,0.8767505842060243,0.9599402292869712,0.9775276938894683,0.9795539132297398,0.9849639205506523,0.9236077450204301,0.9261512889457656,0.7883306408772931,0.7767868946325863,0.9443686054803737,0.9440581385741081,0.8362880422945612,0.8380915882896909,0.9396621201689075,0.9386747587263151,0.9637974038275638,0.9724232119411629,0.882614861086138,0.8825262032180919,0.9578305449401744,0.9690516638831037,0.9596503225464625,0.960436371944075,0.9482115817333114,0.9382578711577083,0.9596997771191541,0.9536591312937492,0.7749284662304913,0.7761608934741664,0.9032449685677397,0.916044285154718,0.9292455567550304,0.9324740264674226,0.9129205614982492,0.9211142965618226,0.8785669025208174,0.877502406366322,0.948722128855158,0.9474233004736198,0.9397316085999688,0.9326017475637973,0.9345904714117248,0.9310730670470923,0.8441021823205762,0.8416019781610055,0.9632589922969608,0.9718641057748093,0.8990027670765394,0.9119683295250476,0.9771801065386706,0.9682960153488097,0.9387254757522228,0.9508137678764
