region,Acc,name,network,hemi
bankssts,0.163828,bankssts L,dmn,left
bankssts,0.20427,bankssts R,somatomotor,right
caudal anterior cingulate,0.181683,caudalanteriorcingulate L,ventral_attention,left
caudal anterior cingulate,0.157759,caudalanteriorcingulate R,ventral_attention,right
caudal middle frontal,0.156683,caudalmiddlefrontal L,dmn,left
caudal middle frontal,0.247209,caudalmiddlefrontal R,frontoparietal,right
cuneus,0.121259,cuneus L,visual,left
cuneus,0.130146,cuneus R,visual,right
entorhinal,0.132576,entorhinal L,limbic,left
entorhinal,0.220578,entorhinal R,limbic,right
frontal pole,0.168329,frontalpole L,limbic,left
frontal pole,0.272589,frontalpole R,limbic,right
fusiform,0.135866,fusiform L,visual,left
fusiform,0.190854,fusiform R,visual,right
inferior parietal,0.104835,inferiorparietal L,dmn,left
inferior parietal,0.111963,inferiorparietal R,dmn,right
inferior temporal,0.156934,inferiortemporal L,limbic,left
inferior temporal,0.150244,inferiortemporal R,limbic,right
insula,0.100407,insula L,ventral_attention,left
insula,0.285482,insula R,ventral_attention,right
isthmus cingulate,0.0590722,isthmuscingulate L,dmn,left
isthmus cingulate,0.116757,isthmuscingulate R,dmn,right
lateral occipital,0.113441,lateraloccipital L,visual,left
lateral occipital,0.0963217,lateraloccipital R,visual,right
lateral orbitofrontal,0.205584,lateralorbitofrontal L,limbic,left
lateral orbitofrontal,0.225652,lateralorbitofrontal R,limbic,left
lingual,0.117936,lingual L,visual,right
lingual,0.108691,lingual R,visual,left
medial orbitofrontal,0.289191,medialorbitofrontal L,limbic,right
medial orbitofrontal,0.197725,medialorbitofrontal R,limbic,left
middle temporal,0.177516,middletemporal L,dmn,right
middle temporal,0.214185,middletemporal R,dmn,left
paracentral,0.211075,paracentral L,somatomotor,right
paracentral,0.268042,paracentral R,somatomotor,left
parahippocampal,0.165865,parahippocampal L,dmn,right
parahippocampal,0.237427,parahippocampal R,visual,left
pars opercularis,0.163974,parsopercularis L,ventral_attention,right
pars opercularis,0.222078,parsopercularis R,ventral_attention,left
pars orbitalis,0.165858,parsorbitalis L,dmn,right
pars orbitalis,0.168598,parsorbitalis R,dmn,left
pars triangularis,0.154018,parstriangularis L,dmn,right
pars triangularis,0.167331,parstriangularis R,ventral_attention,left
pericalcarine,0.106131,pericalcarine L,visual,left
pericalcarine,0.059123,pericalcarine R,visual,right
postcentral,0.104924,postcentral L,somatomotor,left
postcentral,0.164629,postcentral R,somatomotor,right
posterior cingulate,0.230178,posteriorcingulate L,ventral_attention,left
posterior cingulate,0.251816,posteriorcingulate R,ventral_attention,right
precentral,0.152478,precentral L,somatomotor,left
precentral,0.211377,precentral R,somatomotor,right
precuneus,0.139004,precuneus L,dmn,left
precuneus,0.106077,precuneus R,dmn,right
rostral anterior cingulate,0.236886,rostralanteriorcingulate L,dmn,left
rostral anterior cingulate,0.231814,rostralanteriorcingulate R,dmn,right
rostral middle frontal,0.162227,rostralmiddlefrontal L,frontoparietal,left
rostral middle frontal,0.157975,rostralmiddlefrontal R,frontoparietal,right
superior frontal,0.161309,superiorfrontal L,dmn,left
superior frontal,0.171957,superiorfrontal R,dmn,right
superior parietal,0.221619,superiorparietal L,dorsal_attention,left
superior parietal,0.128414,superiorparietal R,dorsal_attention,right
superior temporal,0.151012,superiortemporal L,somatomotor,left
superior temporal,0.242814,superiortemporal R,somatomotor,right
supramarginal,0.171721,supramarginal L,ventral_attention,left
supramarginal,0.191238,supramarginal R,ventral_attention,right
temporal pole,0.255523,temporalpole L,limbic,left
temporal pole,0.19963,temporalpole R,limbic,right
transverse temporal,0.217261,transversetemporal L,somatomotor,left
transverse temporal,0.211173,transversetemporal R,somatomotor,right
